index,Release_Week,Region,Week,Sites_Reporting,Total_Patient_Visits,Total_ILI,Perc_Unweighted_ILI,Perc_Weighted_ILI
486,1149,National,201142,1804,750979,9465,1.26,1.271
487,1149,National,201143,1793,747664,9637,1.289,1.278
488,1149,National,201144,1798,742264,10640,1.433,1.426
489,1149,National,201145,1791,745617,10437,1.4,1.285
490,1149,National,201146,1720,741212,10448,1.41,1.321
491,1149,National,201147,1714,589604,9718,1.648,1.582
492,1149,National,201148,1607,687408,10105,1.47,1.313
493,1149,National,201149,1292,531308,8028,1.511,1.221
494,1149,Region 1,201140,142,49366,243,0.492,0.411
495,1149,Region 1,201141,148,47431,367,0.774,0.677
496,1149,Region 1,201142,152,53558,357,0.667,0.622
497,1149,Region 1,201143,149,53010,398,0.751,0.665
498,1149,Region 1,201144,147,52748,402,0.762,0.654
499,1149,Region 1,201145,152,54961,437,0.795,0.719
500,1149,Region 1,201146,146,55862,355,0.635,0.578
501,1149,Region 1,201147,140,35621,273,0.766,0.583
502,1149,Region 1,201148,132,50346,335,0.665,0.577
503,1149,Region 1,201149,105,37176,233,0.627,0.644
504,1149,Region 2,201140,203,119203,1347,1.13,0.836
505,1149,Region 2,201141,200,118565,1550,1.307,0.872
506,1149,Region 2,201142,192,114864,1491,1.298,0.861
507,1149,Region 2,201143,185,109419,1452,1.327,0.954
508,1149,Region 2,201144,189,112317,1748,1.556,1.179
509,1149,Region 2,201145,180,113503,1860,1.639,1.083
510,1149,Region 2,201146,169,112373,1844,1.641,1.222
511,1149,Region 2,201147,162,94964,1912,2.013,1.398
512,1149,Region 2,201148,150,109460,2235,2.042,1.328
513,1149,Region 2,201149,98,101116,2253,2.228,1.517
514,1149,Region 3,201140,215,111026,1336,1.203,1.169
515,1149,Region 3,201141,221,112783,1419,1.258,1.187
516,1149,Region 3,201142,217,116326,1410,1.212,1.117
517,1149,Region 3,201143,215,112090,1454,1.297,1.213
518,1149,Region 3,201144,220,109937,1497,1.362,1.257
519,1149,Region 3,201145,222,112190,1626,1.449,1.352
520,1149,Region 3,201146,213,111286,1591,1.43,1.362
521,1149,Region 3,201147,212,93728,1455,1.552,1.584
522,1149,Region 3,201148,200,106815,1685,1.577,1.485
523,1149,Region 3,201149,179,96790,1440,1.488,1.399
524,1149,Region 4,201140,344,137454,1725,1.255,1.118
525,1149,Region 4,201141,341,141839,1798,1.268,1.144
526,1149,Region 4,201142,353,136572,1780,1.303,1.286
527,1149,Region 4,201143,353,131474,1780,1.354,1.31
